Date,Open,High,Low,Close
2023-10-11,148.6965,149.322,148.427,149.091
2023-10-12,149.0955,149.829,148.958,149.771
2023-10-13,149.7705,149.826,149.457,149.507
2023-10-16,149.459,149.76,149.376,149.5375
2023-10-17,149.543,149.849,149.0195,149.784
2023-10-18,149.7815,149.939,149.512,149.8065
2023-10-19,149.7935,149.953,149.67,149.7715
2023-10-20,149.786,149.993,149.766,149.867
2023-10-23,149.8225,149.99,149.558,149.714
2023-10-24,149.717,149.922,149.325,149.8575
2023-10-25,149.8645,150.314,149.797,150.1635
2023-10-26,150.164,150.778,149.953,150.382
2023-10-27,150.3805,150.406,149.463,149.555
2023-10-30,149.717,149.851,148.815,149.125
2023-10-31,149.123,151.718,149.084,151.398
2023-11-01,151.406,151.479,150.612,150.663
2023-11-02,150.669,150.685,149.849,150.48
2023-11-03,150.48,150.521,149.219,149.369
2023-11-06,149.3755,150.0825,149.3635,149.995
2023-11-07,149.993,150.689,149.937,150.351
2023-11-08,150.3505,151.058,150.3505,150.896
2023-11-09,150.8965,151.387,150.778,151.303
2023-11-10,151.3135,151.601,151.224,151.532
2023-11-13,151.4695,151.907,151.219,151.6765
2023-11-14,151.6845,151.78,150.16,150.473
2023-11-15,150.463,151.421,150.058,151.2695
2023-11-16,151.2855,151.432,150.287,150.7115
2023-11-17,150.7085,150.775,149.204,149.692
2023-11-20,149.659,149.99,148.104,148.334
2023-11-21,148.343,148.588,147.155,148.2465
2023-11-22,148.2635,149.749,148.0185,149.518
2023-11-23,149.5175,149.688,148.89,149.48
2023-11-24,149.488,149.711,149.199,149.4675
2023-11-27,149.5185,149.67,148.551,148.64
2023-11-28,148.641,148.829,147.326,147.44
2023-11-29,147.428,147.904,146.671,147.0715
2023-11-30,147.077,148.49,146.8445,148.1675
2023-12-01,148.1655,148.342,146.663,146.869
2023-12-04,146.7045,147.448,146.23,147.1375
2023-12-05,147.1185,147.385,146.572,147.118
2023-12-06,147.1095,147.499,146.905,147.235
2023-12-07,147.2225,147.299,141.641,144.232
2023-12-08,144.198,145.1985,142.4975,144.988
2023-12-11,145.021,146.582,144.816,146.1585
2023-12-12,146.152,146.1725,144.7445,145.4375
2023-12-13,145.434,145.991,142.101,142.582
2023-12-14,142.577,142.895,140.982,141.902
2023-12-15,141.882,142.467,141.446,142.247
2023-12-18,142.2285,143.155,142.076,142.806
2023-12-19,142.8045,144.956,142.253,143.868
2023-12-20,143.867,144.094,143.267,143.459
2023-12-21,143.461,143.56,142.051,142.204
2023-12-22,142.1735,142.661,141.877,142.486
2023-12-26,142.346,142.626,142.1,142.4045
2023-12-27,142.404,142.845,141.562,141.611
2023-12-28,141.613,141.6635,140.254,141.3555
2023-12-29,141.356,141.914,140.804,140.965
2024-01-02,140.9175,142.209,140.819,142.07
2024-01-03,142.061,143.73,141.861,143.1425
2024-01-04,143.1455,144.848,142.859,144.599
2024-01-05,144.6005,145.958,143.81,144.748
2024-01-08,144.556,144.922,143.664,144.232
2024-01-09,144.2265,144.625,143.435,144.426
2024-01-10,144.411,145.829,144.321,145.655
2024-01-11,145.6585,146.401,145.265,145.3485
2024-01-12,145.3505,145.555,144.362,144.9
2024-01-15,144.981,145.942,144.935,145.7425
2024-01-16,145.7415,147.312,145.588,147.12
2024-01-17,147.1205,148.523,147.105,148.126
2024-01-18,148.122,148.301,147.663,148.132
2024-01-19,148.1375,148.805,147.842,148.154
2024-01-22,148.24,148.297,147.629,147.9825
2024-01-23,147.9845,148.697,147.013,148.3905
2024-01-24,148.398,148.398,146.668,147.453
2024-01-25,147.4595,147.9,147.092,147.648
2024-01-26,147.6465,148.198,147.4895,148.074
2024-01-29,148.109,148.335,147.256,147.511
2024-01-30,147.507,147.929,147.1,147.611
2024-01-31,147.605,147.897,146.014,146.87
2024-02-01,146.872,147.113,145.913,146.481
2024-02-02,146.4435,148.585,146.249,148.309
2024-02-05,148.4755,148.894,148.273,148.6755
2024-02-06,148.6715,148.786,147.83,147.889
2024-02-07,147.8885,148.258,147.649,148.0575
2024-02-08,148.0575,149.479,147.937,149.2805
2024-02-09,149.287,149.575,149.021,149.284
2024-02-12,149.2575,149.479,148.933,149.333
2024-02-13,149.3355,150.884,149.2705,150.6455
2024-02-14,150.643,150.778,150.356,150.508
2024-02-15,150.5045,150.57,149.579,149.904
2024-02-16,149.9065,150.643,149.832,150.241
2024-02-19,150.183,150.192,149.879,150.128
2024-02-20,150.1285,150.437,149.691,149.961
2024-02-21,149.96,150.392,149.855,150.319
2024-02-22,150.3205,150.688,150.02,150.5195
2024-02-23,150.52,150.768,150.3,150.5
2024-02-26,150.4325,150.84,150.295,150.6645
2024-02-27,150.662,150.706,150.083,150.4855
2024-02-28,150.484,150.845,150.374,150.6515
2024-02-29,150.651,150.663,149.21,149.9885
2024-03-01,149.9875,150.714,149.9665,150.151
2024-03-04,150.1195,150.568,149.844,150.4445
2024-03-05,150.4465,150.546,149.71,150.0235
2024-03-06,150.024,150.085,149.1,149.328
2024-03-07,149.334,149.334,147.601,147.916
2024-03-08,147.919,148.116,146.493,147.062
2024-03-11,147.048,147.142,146.491,146.951
2024-03-12,146.942,148.13,146.623,147.583
2024-03-13,147.585,148.042,147.239,147.708
2024-03-14,147.708,148.358,147.451,148.26
2024-03-15,148.263,149.165,148.04,149.067
2024-03-18,148.979,149.329,148.915,149.054
2024-03-19,149.043,150.961,149.033,150.842
2024-03-20,150.843,151.804,150.756,150.855
2024-03-21,150.855,151.747,150.266,151.547
2024-03-22,151.552,151.857,151.005,151.45
2024-03-25,151.284,151.544,151.054,151.42
2024-03-26,151.417,151.6,151.208,151.531
2024-03-27,151.534,151.973,151.03,151.338
2024-03-28,151.332,151.545,151.153,151.416
2024-04-01,151.297,151.758,151.228,151.64
2024-04-02,151.6305,151.796,151.467,151.573
2024-04-03,151.5795,151.949,151.445,151.6565
2024-04-04,151.656,151.768,151.123,151.3155
2024-04-05,151.321,151.751,150.816,151.65
2024-04-08,151.615,151.94,151.603,151.8295
2024-04-09,151.817,151.935,151.571,151.763
2024-04-10,151.7675,153.241,151.684,153.0095
2024-04-11,153.0205,153.319,152.761,153.2125
2024-04-12,153.212,153.386,152.604,153.24
2024-04-15,153.1925,154.445,153.0635,154.2325
2024-04-16,154.2305,154.784,154.135,154.666
2024-04-17,154.67,154.732,154.161,154.341
2024-04-18,154.3355,154.681,153.961,154.608
2024-04-19,154.6115,154.672,153.593,154.605
2024-04-22,154.5115,154.85,154.505,154.814
2024-04-23,154.82,154.875,154.566,154.781
2024-04-24,154.7825,155.375,154.734,155.237
2024-04-25,155.232,155.747,155.2,155.5935
2024-04-26,155.592,157.897,155.0245,157.891
2024-04-29,158.0315,160.122,154.552,156.3105
2024-04-30,156.308,157.849,156.0695,157.723
2024-05-01,157.7125,157.988,153.0445,154.357
2024-05-02,154.257,156.279,153.062,153.721
2024-05-03,153.717,153.717,151.866,152.895
2024-05-06,152.846,154.009,152.821,153.892
2024-05-07,153.8865,154.748,153.865,154.6065
2024-05-08,154.606,155.664,154.606,155.521
2024-05-09,155.5225,155.95,155.175,155.484
2024-05-10,155.4845,155.903,155.268,155.778
2024-05-13,155.697,156.25,155.588,156.215
2024-05-14,156.2135,156.7425,156.181,156.4245
2024-05-15,156.424,156.559,154.6955,154.7985
2024-05-16,154.7815,155.5275,153.6065,155.3685
